Var1,Gene,Gene_Symbol,total_rxns,targeted_rxns,targeted_drugs,targeted_drugs_names,targeted_rxns_names
"Arachidonic acid metabolism",1580,NA,27,4,210,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1580,NA,27,4,211,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1555,NA,27,4,212,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1555,NA,27,4,213,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1555,NA,27,4,214,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1555,NA,27,4,215,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1549,NA,27,4,216,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1549,NA,27,4,217,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1549,NA,27,4,218,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1549,NA,27,4,219,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1573,NA,27,4,220,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1573,NA,27,4,221,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1573,NA,27,4,222,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",1573,NA,27,4,223,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",199974,NA,27,4,224,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",199974,NA,27,4,225,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",199974,NA,27,4,226,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",199974,NA,27,4,227,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",260293,NA,27,4,228,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
"Arachidonic acid metabolism",260293,NA,27,4,229,NA,HMR_0942; HMR_0946; HMR_0950; HMR_0954
